"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Controllers/FacturaController.cs",,"MAJOR","CLOSED","csharpsquid:S6964"
"CODE_SMELL","Reduce the number of Information logging calls within this code block from 4 to the 2 allowed.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6664"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs",,"MAJOR","CLOSED","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs",,"MINOR","CLOSED","csharpsquid:S6667"
