"Tipo","Mensaje","Archivo","Linea","Severidad","Estado","Regla"
"CODE_SMELL","Value type property used as input in a controller action should be nullable, required or annotated with the JsonRequiredAttribute to avoid under-posting.","ProyectoWeb/Controllers/FacturaController.cs","198","MAJOR","OPEN","csharpsquid:S6964"
"CODE_SMELL","Reduce the number of Information logging calls within this code block from 4 to the 2 allowed.","ProyectoWeb/Controllers/PagoController.cs","34","MINOR","OPEN","csharpsquid:S6664"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","34","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","39","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","45","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","54","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","55","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","64","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs","69","MINOR","OPEN","csharpsquid:S6667"
"CODE_SMELL","Reduce the number of Error logging calls within this code block from 2 to the 1 allowed.","ProyectoWeb/Controllers/PagoController.cs","69","MINOR","OPEN","csharpsquid:S6664"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","69","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","70","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","73","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs","96","MINOR","OPEN","csharpsquid:S6667"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","96","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Use model binding instead of accessing the raw request data","ProyectoWeb/Controllers/PagoController.cs","108","MAJOR","OPEN","csharpsquid:S6932"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","118","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","128","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","132","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs","140","MINOR","OPEN","csharpsquid:S6667"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","140","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","155","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","170","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Logging in a catch clause should pass the caught exception as a parameter.","ProyectoWeb/Controllers/PagoController.cs","174","MINOR","OPEN","csharpsquid:S6667"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/PagoController.cs","174","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ProductoController.cs","60","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ProductoController.cs","107","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ProductoController.cs","126","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ProductoController.cs","149","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ServicioController.cs","60","MAJOR","OPEN","csharpsquid:S2629"
"CODE_SMELL","Don't use string interpolation in logging message templates.","ProyectoWeb/Controllers/ServicioController.cs","107","MAJOR","OPEN","csharpsquid:S2629"
